STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,INDUSTRY,Industry,TSEST,Adjustment Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-01,,5872.6,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-02,,5864.8,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-03,,5837.5,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-04,,5791,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-05,,5766.5,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-06,,5735.1,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-07,,5733.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-08,,5732.8,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-09,,5830.9,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-10,,5746.3,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-11,,5919.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-12,,5744.5,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-01,,5757.8,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-02,,5731.5,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-03,,5677.1,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-04,,5722.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-05,,5799.8,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-06,,5803.4,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-07,,5815.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-08,,5797.2,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-09,,5849.3,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-10,,5941.9,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-11,,5981.1,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2024-12,,6160.3,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-01,,5910.6,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-02,,5894.9,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-03,,5902.2,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-04,,5953.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-05,,5990.7,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M1,Current Prices,42,Household goods retailing,20,Seasonally Adjusted,AUS,Australia,M,Monthly,2025-06,,6129,,AUD,Australian Dollars,6,Millions,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-01,,4.5,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-02,,-0.9,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-03,,0,,PCT,Percent,0,Units,,,,
DATAFLOW,ABS:RT(1.0.0),Retail Trade,I,M2,Current Prices Percentage Change from Previous Period,43,"Clothing, footwear and personal accessory retailing",20,Seasonally Adjusted,AUS,Australia,M,Monthly,2023-04,,1.7,,PCT,Percent,0,Units,,,,
